"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rek'Sai","Top",15,"18.8%","5.0%","23.8%","53%","93%",40,46,81,2.6,"54.5%","19.8%","7%",93,-81,0.5,8.2,"25.6%",583,"21.4%","22.1%",0.35,0.25
"Rell","Support",9,"11.3%","3.8%","15.0%","44%","56%",6,35,102,3.1,"81.8%","24.5%","11%",-45,6,2,1,"1.9%",177,"6.9%","9.8%",1.9,0.42
"Renata Glasc","Support",3,"3.8%","6.3%","10.0%","100%","67%",1,3,58,19.7,"88.1%","12.0%","33%",53,104,-6.7,0.9,"2.2%",289,"8.1%","11.1%",1.76,0.38
"Renekton","Top",13,"16.3%","11.3%","27.5%","46%","23%",32,44,64,2.2,"57.1%","24.7%","31%",488,288,11.9,8.6,"25.0%",505,"19.9%","22.4%",0.4,0.21
"Rumble","Top",20,"25.0%","15.0%","40.0%","50%","5%",55,67,139,2.9,"61.8%","21.3%","5%",166,108,5.2,7.3,"20.3%",672,"23.8%","20.5%",0.47,0.12
"Ryze","Middle",22,"27.5%","18.8%","46.3%","36%","23%",74,76,119,2.5,"65.2%","19.9%","27%",205,186,3.7,9,"26.8%",641,"24.4%","23.8%",0.46,0.22
"Sejuani","Jungle",4,"5.0%","0.0%","5.0%","0%","75%",3,8,42,5.6,"81.8%","11.0%","50%",-270,-360,-7.5,6.1,"17.9%",416,"14.7%","17.3%",0.35,0.43
"Senna","ADC",1,"1.3%","0.0%","1.3%","0%","100%",2,3,1,1,"75.0%","11.5%","0%",-298,-322,-1,8.2,"26.3%",839,"34.2%","28.2%",0.48,0.08
"Seraphine","Support",1,"1.3%","0.0%","1.3%","100%","100%",1,2,9,5,"100.0%","11.8%","100%",160,-396,-1,1,"3.4%",386,"12.7%","12.6%",1.56,0.31
"Sion","Top",21,"26.3%","38.8%","65.0%","67%","10%",58,44,176,5.3,"60.8%","17.5%","14%",-118,-130,-2.9,7.6,"21.8%",559,"19.7%","19.6%",0.41,0.14
